Serial Number,Maker,Club Type,Year,Lie Angle
111231,Titleist,3 Wood,2015,STD
111232,Titleist,5 Wood,2015,STD
111233,Titleist,5 Iron,2014,+1
111234,Titleist,6 Iron,2014,-1
111235,Titleist,7 Iron,2013,+2
111236,Titleist,8 Iron,2013,STD
111237,Titleist,9 Iron,2012,-2
111238,Titleist,3 Hybrid,2012,STD
111239,Titleist,6 Hybrid,2011,STD
111240,Titleist,Pitching Wedge,2011,+1.75
111241,Titleist,Sand Wedge,2010, STD
111242,Titleist,Putter,2010, STD
121231,Nike,3 Wood,2009, +1
121232,Nike,5 Wood,2009, +1
121233,Nike,5 Iron,2008, STD
121234,Nike,6 Iron,2008, +2
121235,Nike,7 Iron,2007, -1
121236,Nike,8 Iron,2007, -2
121237,Nike,9 Iron,2006, STD
121238,Nike,3 Hybrid,2006, +2
121239,Nike,6 Hybrid,2005,STD
121240,Nike,Pitching Wedge,2005,+1
121241,Nike,Sand Wedge,2004,-1
121242,Nike,Putter,2004,STD
131231,Ping,3 Wood,2003,Red
131232,Ping,5 Wood,2003,Yellow
131233,Ping,5 Iron,2002,Pink
131234,Ping,6 Iron,2002,Blue
131235,Ping,7 Iron,2001,Black
131236,Ping,8 Iron,2001,Green
131237,Ping,9 Iron,2000,Purple
131238,Ping,3 Hybrid,2000,Red
131239,Ping,6 Hybrid,2000,Yellow
131240,Ping,Pitching Wedge,1999,Pink
141231,Ping,Sand Wedge,1998,Blue
141232,Ping,Putter,1998,Black
